Property_name,Renting_price,Category,Size,Bedroom,Bathroom,Property_Details,lat,lng,WiFi,CarPark,AirCond,HsKpngServ,LndryServ,WashingMac,DryerMac,Gym,SwmPool,Kitchen,Wardrobe,Fridge,Sofa,TV,Heater,ShuttleVan,Satisfaction_level,population
trails,800,House,0,3,2,"Car Park, Air Conditioner, Washing Machine, Drying Machine, Gymnasium, Swimming Pool, Kitchen, Wardrobe, Fridge, Sofa, Television, Shuttle Van",4.319671,101.123311,0,1,1,0,0,1,1,1,1,1,1,1,1,1,0,1,5,5
Tsing Hua,280,Room,0,1,1,"WiFi, House Keeping Services, Washing Machine, Kitchen, Fridge, Water Heater",4.329354,101.136492,1,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,3,9
Tsing hua,270,Room,0,1,1,"WiFi, Car Park, House Keeping Services, Laundry Services, Water Heater, Shuttle Van",4.329354,101.136492,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,2,1
Tsing Hua,275,Room,0,1,1,"WiFi, House Keeping Services, Laundry Services, Kitchen, Wardrobe, Fridge, Water Heater, Shuttle Van",4.329354,101.136492,1,0,0,1,1,0,0,0,0,1,1,1,0,0,1,1,3,6
Westcity,700,House,0,3,2,"Car Park, Air Conditioner, Washing Machine, Swimming Pool, Kitchen, Fridge, Sofa, Water Heater, Shuttle Van",4.322051,101.127148,0,1,1,0,0,1,0,0,1,1,0,1,1,0,1,1,4,4
Westcity,700,Apartment,0,3,2,"Car Park, Air Conditioner, Washing Machine, Swimming Pool, Kitchen, Wardrobe, Fridge, Sofa, Water Heater, Shuttle Van",4.322051,101.127148,0,1,1,0,0,1,0,0,1,1,1,1,1,0,1,1,3,4
Westcity,225,House,0,3,2,"WiFi, Car Park, Air Conditioner, Washing Machine, Drying Machine, Gymnasium, Swimming Pool, Kitchen, Wardrobe, Fridge, Sofa, Television, Water Heater, Shuttle Van",4.322051,101.127148,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,4,5
Westcity,250,Room,0,1,1,"Car Park, Air Conditioner, Wardrobe, Fridge, Water Heater",4.322051,101.127148,0,1,1,0,0,0,0,0,0,0,1,1,0,0,1,0,3,1
Westcity,250,Room,0,1,1,"WiFi, Car Park, Air Conditioner, House Keeping Services, Laundry Services, Washing Machine, Drying Machine, Gymnasium, Swimming Pool, Kitchen, Wardrobe, Fridge, Sofa, Television, Water Heater, Shuttle Van",4.322051,101.127148,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,6
Westcity,230,Room,0,1,1,"Car Park, Air Conditioner, Washing Machine, Gymnasium, Swimming Pool, Kitchen, Fridge, Sofa, Water Heater, Shuttle Van",4.322051,101.127148,0,1,1,0,0,1,0,1,1,1,0,1,1,0,1,1,3,3
Westcity Condo,450,Room,0,1,1,"WiFi, Car Park, Air Conditioner, Washing Machine, Swimming Pool, Kitchen, Wardrobe, Fridge, Sofa, Water Heater, Shuttle Van",4.323742,101.129656,1,1,1,0,0,1,0,0,1,1,1,1,1,0,1,1,4,4
Westcity Condo,150,Room,0,3,2,"WiFi, Car Park, Air Conditioner, Washing Machine, Swimming Pool, Kitchen, Wardrobe, Fridge, Sofa, Water Heater, Shuttle Van",4.323742,101.129656,1,1,1,0,0,1,0,0,1,1,1,1,1,0,1,1,4,4
Westcity condo,250,Apartment,0,1,1,"WiFi, Car Park, Air Conditioner, Washing Machine, Swimming Pool, Kitchen, Fridge, Sofa, Water Heater",4.323742,101.129656,1,1,1,0,0,1,0,0,1,1,0,1,1,0,1,0,4,3
Westcity condo,750,Apartment,0,3,2,"WiFi, Car Park, Air Conditioner, Washing Machine, Swimming Pool, Kitchen, Fridge, Sofa, Water Heater",4.323742,101.129656,1,1,1,0,0,1,0,0,1,1,0,1,1,0,1,0,4,3
westcity condo ,320,Apartment,0,3,2,"WiFi, Car Park, Air Conditioner, Washing Machine, Swimming Pool, Kitchen, Wardrobe, Fridge, Sofa, Water Heater, Shuttle Van",4.323742,101.129656,1,1,1,0,0,1,0,0,1,1,1,1,1,0,1,1,4,2
Westlake Villas,650,Room,0,1,1,"WiFi, Car Park, Air Conditioner, House Keeping Services, Laundry Services, Washing Machine, Gymnasium, Swimming Pool, Kitchen, Wardrobe, Fridge, Sofa, Water Heater, Shuttle Van",4.327772,101.133221,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,4,2
Westlake Villas,650,Apartment,0,4,4,"WiFi, Car Park, Air Conditioner, House Keeping Services, Laundry Services, Washing Machine, Gymnasium, Swimming Pool, Kitchen, Wardrobe, Fridge, Sofa, Television, Water Heater, Shuttle Van",4.327772,101.133221,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,4,6
Westlake villas,1800,Apartment,0,3,2,"WiFi, Car Park, Air Conditioner, House Keeping Services, Laundry Services, Washing Machine, Gymnasium, Swimming Pool, Kitchen, Wardrobe, Fridge, Sofa, Water Heater, Shuttle Van",4.327772,101.133221,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,5,4
Yale,300,Room,0,1,1,"Car Park, House Keeping Services, Washing Machine, Fridge, Sofa, Water Heater",4.328169,101.135322,0,1,0,1,0,1,0,0,0,0,0,1,1,0,1,0,4,5
Yale,200,Room,0,1,1,"WiFi, House Keeping Services, Washing Machine, Kitchen, Fridge",4.328169,101.135322,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,4,5
Yale,290,Room,0,1,1,"WiFi, Car Park, Air Conditioner, House Keeping Services, Washing Machine, Kitchen, Water Heater",4.328169,101.135322,1,1,1,1,0,1,0,0,0,1,0,0,0,0,1,0,5,5
