Property_name,Renting_price,Category,Size,Bedroom,Bathroom,Property_Details,lat,lng,WiFi,CarPark,AirCond,HsKpngServ,LndryServ,WashingMac,DryerMac,Gym,SwmPool,Kitchen,Wardrobe,Fridge,Sofa,TV,Heater,ShuttleVan,Satisfaction_level,population
Cambridge,3350,House,,14,12,"WiFi, Car Park, House Keeping Services, Laundry Services, Washing Machine, Kitchen, Wardrobe, Fridge, Water Heater",,,1,1,,1,1,1,,,,1,1,1,,,1,,4,8
Oxford,215,Room,,1,1,"WiFi, Car Park, House Keeping Services, Washing Machine, Kitchen, Wardrobe, Fridge, Water Heater",,,1,1,,1,,1,,,,1,1,1,,,1,,3,13
Harvard,900,House,,4,4,"Car Park, Washing Machine, Kitchen, Wardrobe, Fridge, Sofa, Water Heater",,,,1,,,,1,,,,1,1,1,1,,1,,4,6
Cambridge,230,Room,,1,1,"WiFi, Car Park, Air Conditioner, House Keeping Services, Washing Machine, Water Heater",,,1,1,1,1,,1,,,,,,,,,1,,4,5
Westcity,225,House,,3,2,"WiFi, Car Park, Air Conditioner, Washing Machine, Drying Machine, Gymnasium, Swimming Pool, Kitchen, Wardrobe, Fridge, Sofa, Television, Water Heater, Shuttle Van",,,1,1,1,,,1,1,1,1,1,1,1,1,1,1,1,4,5
Harvard,900,House,,4,4,"Washing Machine, Wardrobe, Fridge, Sofa",,,,,,,,1,,,,,1,1,1,,,,4,6
Champs,400,Room,,1,1,"WiFi, Car Park, Air Conditioner, Washing Machine, Gymnasium, Swimming Pool, Kitchen, Fridge, Water Heater",,,1,1,1,,,1,,1,1,1,,1,,,1,,4,4
Harvard,300,Room,,1,1,"WiFi, House Keeping Services, Laundry Services, Washing Machine, Kitchen, Fridge, Water Heater",,,1,,,1,1,1,,,,1,,1,,,1,,3,15
Beijing,280,Room,,1,1,"WiFi, Car Park, House Keeping Services, Washing Machine, Kitchen, Wardrobe, Fridge, Water Heater",,,1,1,,1,,1,,,,1,1,1,,,1,,3,14
Beijing,3350,House,,12,12,"WiFi, Car Park, House Keeping Services, Washing Machine, Kitchen, Wardrobe, Fridge, Water Heater",,,1,1,,1,,1,,,,1,1,1,,,1,,3,14
Westlake Oxford,270,Room,,1,1,"WiFi, Car Park, House Keeping Services, Washing Machine, Kitchen, Wardrobe, Fridge, Water Heater",,,1,1,,1,,1,,,,1,1,1,,,1,,3,14
Beijing,280,Room,,1,1,"WiFi, House Keeping Services, Washing Machine, Kitchen, Fridge, Water Heater",,,1,,,1,,1,,,,1,,1,,,1,,4,10
Wesitcity,250,Room,,1,1,"Car Park, Air Conditioner, Wardrobe, Fridge, Water Heater",,,,1,1,,,,,,,,1,1,,,1,,3,1
Manchester ,270,Room,,1,1,"WiFi, Air Conditioner, House Keeping Services, Washing Machine, Wardrobe, Fridge, Water Heater",,,1,,1,1,,1,,,,,1,1,,,1,,5,10
Cambridge,210,Room,,1,1,"WiFi, House Keeping Services, Washing Machine, Kitchen, Wardrobe, Fridge, Water Heater",,,1,,,1,,1,,,,1,1,1,,,1,,4,10
Westlake Villas,650,Apartment,,4,4,"WiFi, Car Park, Air Conditioner, House Keeping Services, Laundry Services, Washing Machine, Gymnasium, Swimming Pool, Kitchen, Wardrobe, Fridge, Sofa, Television, Water Heater, Shuttle Van",,,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,4,6
Beijing,315,Room,,1,1,"WiFi, House Keeping Services, Laundry Services, Wardrobe, Fridge, Water Heater, Shuttle Van",,,1,,,1,1,,,,,,1,1,,,1,1,3,13
trails,1200,House,,3,2,"Car Park, Air Conditioner, Washing Machine, Gymnasium, Swimming Pool, Kitchen, Wardrobe, Fridge, Sofa, Television, Water Heater",,,,1,1,,,1,,1,1,1,1,1,1,1,1,,4,4
Oxford,330,Room,,1,1,"WiFi, Car Park, House Keeping Services, Laundry Services, Washing Machine, Kitchen, Wardrobe, Fridge, Water Heater",,,1,1,,1,1,1,,,,1,1,1,,,1,,4,1
Eastlake ,300,Room,,1,1,"WiFi, Car Park, Air Conditioner, Washing Machine, Drying Machine, Gymnasium, Kitchen, Wardrobe, Fridge, Water Heater, Shuttle Van",,,1,1,1,,,1,1,1,,1,1,1,,,1,1,5,10
Harvard,900,House,,4,4,"Car Park, Washing Machine, Fridge, Sofa",,,,1,,,,1,,,,,,1,1,,,,3,5
Westlake,275,Room,,1,1,"WiFi, House Keeping Services, Laundry Services, Kitchen, Wardrobe, Fridge, Water Heater, Shuttle Van",,,1,,,1,1,,,,,1,1,1,,,1,1,3,6
Westlake oxford,310,Room,,1,1,"WiFi, House Keeping Services, Washing Machine, Kitchen, Water Heater",,,1,,,1,,1,,,,1,,,,,1,,3,8
Oxford,200,Room,,1,1,"WiFi, Kitchen, Water Heater",,,1,,,,,,,,,1,,,,,1,,5,1
Westlake villas,1800,Apartment,,3,2,"WiFi, Car Park, Air Conditioner, House Keeping Services, Laundry Services, Washing Machine, Gymnasium, Swimming Pool, Kitchen, Wardrobe, Fridge, Sofa, Water Heater, Shuttle Van",,,1,1,1,1,1,1,,1,1,1,1,1,1,,1,1,5,4
Beijing,290,Room,,1,1,"WiFi, Car Park, House Keeping Services, Laundry Services, Wardrobe, Fridge, Water Heater",,,1,1,,1,1,,,,,,1,1,,,1,,3,7
Harvard,280,House,,1,1,"Car Park, House Keeping Services, Washing Machine, Kitchen, Wardrobe, Fridge, Water Heater",,,,1,,1,,1,,,,1,1,1,,,1,,4,4
Harvard,1150,House,,4,3,"Car Park, House Keeping Services, Washing Machine, Kitchen, Wardrobe, Fridge, Water Heater",,,,1,,1,,1,,,,1,1,1,,,1,,4,4
Harvard ,140,House,,1,1,"WiFi, Car Park, House Keeping Services, Laundry Services, Kitchen, Fridge, Water Heater",,,1,1,,1,1,,,,,1,,1,,,1,,4,4
Harvard ,560,House,,4,4,"WiFi, Car Park, House Keeping Services, Laundry Services, Kitchen, Fridge, Water Heater",,,1,1,,1,1,,,,,1,,1,,,1,,4,4
Meadow Park,1150,Apartment,,4,4,"WiFi, Car Park, Air Conditioner, Laundry Services, Gymnasium, Swimming Pool, Kitchen, Wardrobe, Fridge, Sofa, Television, Water Heater, Shuttle Van",,,1,1,1,,1,,,1,1,1,1,1,1,1,1,1,3,4
Stanford,250,House,,1,1,"Washing Machine, Kitchen, Fridge, Water Heater",,,,,,,,1,,,,1,,1,,,1,,3,4
Stanford,900,House,,4,4,"Washing Machine, Kitchen, Fridge, Water Heater",,,,,,,,1,,,,1,,1,,,1,,3,4
Beijing A,340,Room,,1,1,Washing Machine,,,,,,,,1,,,,,,,,,,,3,14
